"Introduction","Id_Chargeur","Date PEC","Site","Id_Site","Nombre de place de stationnement","Nombre de place PMR","Localisation","Photo Site","Chargeur","Marque - Modèle","Numéro de série","Nombre de prise","Année de fabrication","Date de mise en service","Photo Chargeur","Etat Chargeur","Chargeur - Anomalie","Chargeur - Défaut(s) constaté(s)","Chargeur - Solution(s) proposée(s)","Chargeur - Photo anomalie","Prise 1","Prise 1 - Identifiant","Prise 1 - Type de prise","Prise 1 - Puissance","Prise 1 - Câble attaché ?","Prise 1 - Etat prise","Prise 1 - Etat câble","Prise 1 - Test de charge","Prise 1 - Raison ?","Prise 1 - Anomalie","Prise 1 - Défaut(s) constaté(s)","Prise 1 - Solution(s) proposée(s)","Prise 1 - Photo anomalie","Prise 2","Prise 2 - Identifiant","Prise 2 - Type de prise","Prise 2 - Puissance","Prise 2 - Câble attaché ?","Prise 2 - Etat prise","Prise 2 - Etat câble","Prise 2 - Test de charge","Prise 2 - Raison ?","Prise 2 - Anomalie","Prise 2 - Défaut(s) constaté(s)","Prise 2 - Solution(s) proposée(s)","Prise 2 - Photo anomalie","Prise 3","Prise 3 - Identifiant","Prise 3 - Type de prise","Prise 3 - Puissance","Prise 3 - Câble attaché ?","Prise 3 - Etat prise","Prise 3 - Etat câble","Prise 3 - Test de charge","Prise 3 - Raison ?","Prise 3 - Anomalie","Prise 3 - Défaut(s) constaté(s)","Prise 3 - Solution(s) proposée(s)","Prise 3 - Photo anomalie","Alimentation","Point de livraison","Numéro PRM","Marque Modèle Disjoncteur","Réglage intensité","Réglage différentiel","Etat PDL / Disjoncteur","Photo PDL","Photo Disjoncteur","Alimentation - Anomalie","Alimentation - Défaut(s) constaté(s)","Alimentation - Solution(s) proposée(s)","Alimentation - Photo anomalie","Communication","ICCID","Charge Point ID","Moyens de paiement","Terminal de paiement ?","En service ?","Marque TPE","Numéro de série TPE","Etat TPE","Photo TPE","Photo plaque signalétique TPE","Moyent de paiement - Anomalie","Moyent de paiement - Défaut(s) constaté(s)","Moyent de paiement - Solution(s) proposée(s)","Moyent de paiement - Photo anomalie","Protection anticolision","Type de protection","Protection - Quantité","Etat protections","Présence de stop-roues ?","Protection - Anomalie","Protection - Défaut(s) constaté(s)","Protection - Solution(s) proposée(s)","Protection - Photo anomalie","Panneaux de signalisation","Signalisation - Quantité","Fixation","Type de panneaux","Logo VE au sol ?","Etat signalisation","Signalisation - Anomalie","Signalisation - Défaut(s) constaté(s)","Signalisation - Solution(s) proposée(s)","Signalisation - Photo anomalie","Contrôles","Contrôle 1","Contrôle 2","Contrôle 3","Contrôle 4","Contrôle 5","Contrôle 6","Contrôle 7","Contrôle 8","Contrôle 9","Contrôle 10","Contrôle 11","Contrôle 12","Contrôle 13","Contrôle 14","Contrôle 15","Contrôle 16","Contrôle 17","Contrôle 18","Contrôle - commentaires","Conclusion","Pose des stickers","Chargeur basculé chez LOAD STATION","Que reste-t-il à faire ?","Nom technicien","Signature"
"Traité","ZCSE","29/1/2026","","Creully sur Seulles, 3 Rue de Bayeux","2","0","49.290795, -0.566359","PEC_Images/ZCSE.Photo Site.154959.jpg","","E-TOTEM - E TOTEM 22 KVA","ET287","2","2017","26/5/2017","PEC_Images/ZCSE.Photo Chargeur.154959.jpg","Bon","","Installation neuve le courant n'a pas encore été mis en service. Borne est donc non utilisable pour le moment.","Attendre mise en service","PEC_Images/ZCSE.Chargeur - Photo anomalie.145458.jpg","","ZCSE1","CCS","22","","Moyen","Moyen","Non testé",".","","","","","","ZCSE2","T2","22","","Moyen","","Non testé",".","","","","","","","","","","","","","","","","","","","Intégré au chargeur","02423010020650","BACO 401013","60","500","Bon","PEC_Images/ZCSE.Photo PDL.154959.jpg","PEC_Images/ZCSE.Photo Disjoncteur.155004.jpg","","Dans l'application il est impossible de mettre une intensité à 30 ampères un message s'affiche ""valeur erronée"" le disjoncteur est pourtant bien réglé à 30","Modification à faire sur l'appli","PEC_Images/ZCSE.Alimentation - Photo anomalie.145503.jpg","","89332401000038565186","ET287","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Dans la terre","Rond interdiction de stationner , Rectangle Réservé au VE","1","Moyen","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","NOK","NOK","OK","Patiellement","Test","","Fait","Fait","","Paluch Mario","PEC_Images/ZCSE.Signature.155003.png"
"Traité","VKYL","15/1/2026","","Arromanches-les-Bains, Rue François Carpentier","2","1","49.339050, -0.625424","PEC_Images/VKYL.Photo Site.145525.jpg","","SGA MOBILITY - SGA TAO","TAO2027","2","2025","27/3/2025","PEC_Images/VKYL.Photo Chargeur.145525.jpg","Bon","","","","","","VKYL1","CCS","30","1","Bon","Bon","Fonctionnel","","","","","","","VKYL2","T2","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50069538819950","BACO 4 010 11","60","500","Bon","PEC_Images/VKYL.Photo PDL.145525.jpg","PEC_Images/VKYL.Photo Disjoncteur.145529.jpg","","","","","","89332401000037828882","TAO2027","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/VKYL.Signature.145529.png"
"Traité","GADQ","15/1/2026","","Fontenay-le-Pesnel, Rue Saint-Martin","2","0","49.169207, -0.576671","PEC_Images/GADQ.Photo Site.150135.jpg","","SGA MOBILITY - SGA TAO","TAO2135","2","2025","6/10/2025","PEC_Images/GADQ.Photo Chargeur.150135.jpg","Comme neuf","","","","","","GADQ1","CCS","30","1","Comme neuf","Comme neuf","Fonctionnel","","","","","","","GADQ2","T2","22","","Comme neuf","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50032923078251","Baco","60","500","Comme neuf","PEC_Images/GADQ.Photo PDL.150135.jpg","PEC_Images/GADQ.Photo Disjoncteur.150140.jpg","","","","","","89332401000037829575","TAO2135","","","","","","","","","","","","","","Poteau de protection","2","Comme neuf","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","","Martineau Clément","PEC_Images/GADQ.Signature.150140.png"
"Traité","AAUK","15/1/2026","","Arromanches-les-Bains, Rue d'Instow","2","0","49.338482, -0.623791","PEC_Images/AAUK.Photo Site.153621.jpg","","E-TOTEM - E TOTEM 22 KVA","ET191","2","2017","14/4/2017","PEC_Images/AAUK.Photo Chargeur.153621.jpg","Moyen","","","","","","AAUK1","T2 + EF","22","","Moyen","","Fonctionnel","","","","","","","AAUK2","T2 + EF","22","","Moyen","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","02488856620018","BACO 4 010 13","60","500","Bon","PEC_Images/AAUK.Photo PDL.153621.jpg","PEC_Images/AAUK.Photo Disjoncteur.153626.jpg","","","","","","89332401000037827975","ET191","","","","","","","","","","","","","","Aucun","0","Hors d'usage","","","","","","","1","Dans les emrobés","Rond interdiction de stationner , Carré Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","- Carte PC remplacée le 01/06/2026","","Fait","Fait","/!\ Borne déclaré HS par le client avant la prise en charge /!\. Intégration URL - load motion. Pas de présence de Gloudgate mais carte électronique hs Mario. A prendre en charge lors de la réversibilité sortante
QD: carte PC remplacée","DUPUY Philippe","PEC_Images/AAUK.Signature.153626.png"
"Traité","SJAB","15/1/2026","","Laize-Clinchamps, Rue du Régiment Mont Royal","2","0","49.083911, -0.381009","PEC_Images/SJAB.Photo Site.154118.jpg","","DBT - SQC-Keren","DBT.L2.966AB4","2","2024","25/7/2024","PEC_Images/SJAB.Photo Chargeur.154118.jpg","Comme neuf","","","","","","SJAB1","T2 + EF","22","","Comme neuf","","Fonctionnel","","","","","","","SJAB2","T2 + EF","22","","Comme neuf","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50039005987099","Baco","60","500","Bon","PEC_Images/SJAB.Photo PDL.154118.jpg","PEC_Images/SJAB.Photo Disjoncteur.154122.jpg","","","","","","89332401000037830250","DBT.L2.966AB4","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Dans la terre","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","La borne n'est pas remontée (après 20min d'attente).","Yann ponge","PEC_Images/SJAB.Signature.154122.png"
"Traité","QMYD","15/1/2026","","Thue et Mue, Route d'Audrieu","2","0","49.211015, -0.561373","PEC_Images/QMYD.Photo Site.155540.jpg","","SGA MOBILITY - SGA TAO","TAO2037","2","2025","1/7/2025","PEC_Images/QMYD.Photo Chargeur.155540.jpg","Comme neuf","","","","","","QMYD1","CCS","30","1","Comme neuf","Comme neuf","Fonctionnel","","","","","","","QMYD2","T2","22","","Comme neuf","Comme neuf","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50010638657603","Baco","60","500","Comme neuf","PEC_Images/QMYD.Photo PDL.155540.jpg","PEC_Images/QMYD.Photo Disjoncteur.155544.jpg","","","","","","89332401000037830193","TAO2037","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","","Martineau Clément","PEC_Images/QMYD.Signature.155544.png"
"Traité","VGZC","15/1/2026","","Saint-Côme-de-Fresné, Allée De L'église","2","1","49.339564, -0.595562","PEC_Images/VGZC.Photo Site.070630.jpg","","SGA MOBILITY - SGA TAO","TAO2028","2","2025","30/6/2025","PEC_Images/VGZC.Photo Chargeur.070630.jpg","Bon","","","","","","VGZC1","CCS","30","1","Bon","Bon","Fonctionnel","","","","","","","VGZC2","T2","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50088931557590","BACO 4 010 11","60","500","Bon","PEC_Images/VGZC.Photo PDL.070630.jpg","PEC_Images/VGZC.Photo Disjoncteur.070634.jpg","","","","","","89332401000037828866","TAO2028","","","","","","","","","","","","","","Poteau de protection","2","Bon","1","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","LOAD MOTION","PEC_Images/VGZC.Signature.070634.png"
"Traité","DPAS","16/1/2026","","Valambray, Grande Rue","2","0","49.069882, -0.181848","PEC_Images/DPAS.Photo Site.083023.jpg","","SGA MOBILITY - SGA TAO","TAO2121","2","2025","16/1/2026","PEC_Images/DPAS.Photo Chargeur.083023.jpg","Bon","","","","","","DPAS2","CCS","100","","Bon","","Fonctionnel","","","","","","","","T2","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50098624613851","BACO 4 010 11","60","500","Bon","PEC_Images/DPAS.Photo PDL.083023.jpg","PEC_Images/DPAS.Photo Disjoncteur.083028.jpg","","","","","","89332401000037831217","TAO2121","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","CD : la borne n'est pas présente dans LOAD MOTION. A cette adresse il y a la TAO2121 dans la supervision. Vérifier s'il n'y a pas d'erreur dans le SN et CPID","DUPUY Philippe","PEC_Images/DPAS.Signature.083027.png"
"Traité","DQRS","16/1/2026","","Argences, Place des Marronniers","1","0","49.122924, -0.168399","PEC_Images/DQRS.Photo Site.092821.jpg","","SGA MOBILITY - SGA ZELIE","ZID3024","1","2025","29/8/2025","PEC_Images/DQRS.Photo Chargeur.092821.jpg","Bon","","","","","","DQRS1","T2 + EF","7.4","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50068816015484","BACO 4 010 11","60","500","Bon","PEC_Images/DQRS.Photo PDL.092821.jpg","PEC_Images/DQRS.Photo Disjoncteur.092826.jpg","","","","","","89332401000037831225","ZID3024","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/DQRS.Signature.092826.png"
"Traité","GVRG","16/1/2026","","Varaville, Rue Guillaume le Conquérant","2","0","49.285446, -0.155044","PEC_Images/GVRG.Photo Site.095122.jpg","","SGA MOBILITY - SGA TAO","TAO2094","2","2025","19/6/2025","PEC_Images/GVRG.Photo Chargeur.095122.jpg","Bon","","","","","","GVRG1","CCS","30","1","Bon","Bon","Fonctionnel","Borne non remontée","","","","","","GVRG2","T2","22","","Bon","","Fonctionnel","Borne non remontée","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50083574708220","BACO 010 13","60","500","Bon","PEC_Images/GVRG.Photo PDL.095122.jpg","PEC_Images/GVRG.Photo Disjoncteur.095126.jpg","","","","","","89332401000037830656","TAO2094","","","","","","","","","","","","","","Poteau de protection","2","Moyen","","1","Présence de rouille","Repeindre poteaux","PEC_Images/GVRG.Protection - Photo anomalie.095126.jpg","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","Paramétrage OK mais borne non remontée I","VERDIER David","PEC_Images/GVRG.Signature.095126.png"
"Traité","JGKT","16/1/2026","","Argences, Allée Val-Es-Dunes","2","0","49.120674, -0.166606","PEC_Images/JGKT.Photo Site.101746.jpg","","DBT - SQC-Keren","DBT.L2.9613AA","2","2024","18/12/2024","PEC_Images/JGKT.Photo Chargeur.101747.jpg","Bon","","","","","","JGKT1","T2 + EF","22","","Hors d'usage","","Non fonctionnel","","1","Anomalie disjoncteur domestique","Intervention technicien","PEC_Images/JGKT.Prise 1 - Photo anomalie.101746.jpg","","JGKT2","T2 + EF","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50060278455395","BACO 4 010 13","60","500","Bon","PEC_Images/JGKT.Photo PDL.101751.jpg","PEC_Images/JGKT.Photo Disjoncteur.101751.jpg","","","","","","89332401000037831282","DBT.L2.9613AA","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Dans la terre","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Patiellement","Prise 1 en défaut","","Fait","Fait","","DUPUY Philippe","PEC_Images/JGKT.Signature.101751.png"
"Traité","JXHG","16/1/2026","","Argences, Allée Val-Es-Dunes","2","2","49.120666, -0.166578","PEC_Images/JXHG.Photo Site.102941.jpg","","DBT - SQC-Keren","DBT.L2.961357","2","2024","18/12/2024","PEC_Images/JXHG.Photo Chargeur.102941.jpg","Bon","","","","","","JXHG1","T2 + EF","22","","Hors d'usage","","Non fonctionnel","","1","ANOMALIE DISJONCTEUR DOMESTIQUE","Intervention technicien","PEC_Images/JXHG.Prise 1 - Photo anomalie.102941.jpg","","JXHG2","T2 + EF","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50012955735069","BACO 4 010 13","60","500","Bon","PEC_Images/JXHG.Photo PDL.102945.jpg","PEC_Images/JXHG.Photo Disjoncteur.102945.jpg","","","","","","89332401000037831290","DBT.L2.961357","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Dans la terre","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Patiellement","Prise 1 en défaut","","Fait","Fait","CD : Les connecteurs ne remontent pas","DUPUY Philippe","PEC_Images/JXHG.Signature.102945.png"
"Traité","QFMB","16/1/2026","","Saint-Ouen-du-Mesnil-Oger, Rue Du Lavoir","1","1","49.156243, -0.121353","PEC_Images/QFMB.Photo Site.112058.jpg","","SGA MOBILITY - SGA ZELIE","ZID3046","1","2025","2/9/2025","PEC_Images/QFMB.Photo Chargeur.112059.jpg","Bon","","","","","","QFMB1","T2 + EF","7.4","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50063316017299","BACO 4 010 13","60","500","Bon","PEC_Images/QFMB.Photo PDL.112058.jpg","PEC_Images/QFMB.Photo Disjoncteur.112103.jpg","","","","","","89332401000037831316","ZID3046","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/QFMB.Signature.112103.png"
"Traité","HWUC","16/1/2026","","Merville-Franceville-Plage, Boulevard Wattier","2","0","49.285474, -0.202727","PEC_Images/HWUC.Photo Site.113309.jpg","","DBT - SQC-Keren","DBT.L2.966B43","2","2024","3/6/2024","PEC_Images/HWUC.Photo Chargeur.113309.jpg","Moyen","1","Rouille, trappes ne ferment pas, affiche non protégée.","Remplacement et reparation, affiche plastifiée","PEC_Images/HWUC.Chargeur - Photo anomalie.113309.jpg","","HWUC1","T2 + EF","22","","Comme neuf","","Fonctionnel","","","","","","","HWUC2","T2 + EF","22","","Comme neuf","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50022942259152","Baco 401013","60","500","Comme neuf","PEC_Images/HWUC.Photo PDL.113313.jpg","PEC_Images/HWUC.Photo Disjoncteur.113314.jpg","","","","","","89332401000037830680","DBT.L2.966B43","","","","","","","","","","","","","","Poteau de protection","2","Comme neuf","","","","","","","1","Dans la terre","Rond interdiction de stationner , Rectangle Réservé au VE","1","Comme neuf","","","","","Traité","OK","SO","SO","NOK","OK","SO","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","","David verdier","PEC_Images/HWUC.Signature.113314.png"
"Traité","FRXK","16/1/2026","","Cléville, Route De Croissanville","1","0","49.155174, -0.095333","PEC_Images/FRXK.Photo Site.120214.jpg","","SGA MOBILITY - SGA ZELIE","ZID3108","1","2025","2/9/2025","PEC_Images/FRXK.Photo Chargeur.120214.jpg","Bon","","","","","","FRXK1","T2 + EF","7.4","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50035527658432","BACO 4 010 13","60","500","Bon","PEC_Images/FRXK.Photo PDL.120214.jpg","PEC_Images/FRXK.Photo Disjoncteur.120219.jpg","","","","","","89332401000037831241","ZID3108","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","CD : plainte sur affichage avec 2 numéros de téléphone différents sur la borne. MP: les affichages sont correctes.","DUPUY Philippe","PEC_Images/FRXK.Signature.120218.png"
"Traité","ANWS","16/1/2026","","Beuvron-en-Auge, Cour Des Pavés Fleuris","2","0","49.190179, -0.047149","PEC_Images/ANWS.Photo Site.135221.jpg","","SGA MOBILITY - SGA TAO","TAO2091","2","2025","25/6/2025","PEC_Images/ANWS.Photo Chargeur.135222.jpg","Bon","","","","","","ANWS1","CCS","30","1","Bon","Bon","Fonctionnel","","","","","","","ANWS2","T2","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50034804808927","BACO 4 010 13","60","500","Bon","PEC_Images/ANWS.Photo PDL.135221.jpg","PEC_Images/ANWS.Photo Disjoncteur.135227.jpg","","","","","","89332401000037828270","TAO2091","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Moyen","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/ANWS.Signature.135226.png"
"Traité","VJVK","16/1/2026","","Notre-Dame-d'Estrées-Corbon, Route de Bonnebosq","2","1","49.117559, 0.014309","PEC_Images/VJVK.Photo Site.143452.jpg","","DBT - UC100-ULTRA","DBT.QCNG238.51210097772797","3","2022","7/10/2022","PEC_Images/VJVK.Photo Chargeur.143452.jpg","Bon","","","","","","VJVK1","CCS","100","1","Bon","Bon","Fonctionnel","","","","","","","VJVK2","CHADEMO","100","1","Bon","Bon","Non testé","Prise spécifique","","","","","","VJVK3","T2","22","1","Bon","Bon","Fonctionnel","","","","","","","A proximité","Na","SCHNEIDER BADI.220.40121","300","300","Bon","PEC_Images/VJVK.Photo PDL.143452.jpg","PEC_Images/VJVK.Photo Disjoncteur.143457.jpg","","","","","","89332401000037831381","DBT.QCNG238.51210097772797","","1","1","WORLDLINE","00010220","Bon","PEC_Images/VJVK.Photo TPE.143458.jpg","PEC_Images/VJVK.Photo plaque signalétique TPE.143458.jpg","","","","","","Poteau de protection","2","Bon","","","","","","","1","Dans la terre","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/VJVK.Signature.143501.png"
"Traité","EVZB","19/1/2026","","Juaye-Mondaye, Rue de la Mairie","2","0","49.208381, -0.687175","PEC_Images/EVZB.Photo Site.084517.jpg","","SGA MOBILITY - SGA ZELIE","ZID3080","2","2025","22/1/2025","PEC_Images/EVZB.Photo Chargeur.084517.jpg","Bon","","","","","","EVZB1","T2 + EF","22","","Bon","","Fonctionnel","","","","","","","EVZB2","T2 + EF","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50017296482086","BACO 4 010 11","60","500","Bon","PEC_Images/EVZB.Photo PDL.084517.jpg","PEC_Images/EVZB.Photo Disjoncteur.084521.jpg","","","","","","89332401000037828486","ZID3080","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/EVZB.Signature.084521.png"
"Traité","UZEA","19/1/2026","","Nonant, Rue du Bourg","2","0","49.242743, -0.641595","PEC_Images/UZEA.Photo Site.092033.jpg","","SGA MOBILITY - SGA ZELIE","ZID3025","2","2025","14/2/2025","PEC_Images/UZEA.Photo Chargeur.092033.jpg","Bon","","","","","","UZEA2","T2 + EF","7.4","","Bon","","Fonctionnel","","","","","","","UZEA1","T2 + EF","7.4","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50035241835668","BACO 4 010 11","60","500","Bon","PEC_Images/UZEA.Photo PDL.092033.jpg","PEC_Images/UZEA.Photo Disjoncteur.092038.jpg","","","","","","89332401000037828841","ZID3025","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/UZEA.Signature.092037.png"
"Traité","YKDT","19/1/2026","","Dives-sur-Mer, Rue du Champ de Foire","1","0","49.285190, -0.100013","PEC_Images/YKDT.Photo Site.103948.jpg","","SGA MOBILITY - SGA ZELIE","ZID3015","1","2024","25/4/2024","PEC_Images/YKDT.Photo Chargeur.103948.jpg","Bon","","","","","","YKDT1","T2 + EF","7.4","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50023520964770","BACO 4 010 13","60","500","Bon","PEC_Images/YKDT.Photo PDL.103948.jpg","PEC_Images/YKDT.Photo Disjoncteur.103952.jpg","","","","","","89332401000037831407","ZID3015","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","0","","","1","","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","","DUPUY Philippe","PEC_Images/YKDT.Signature.103952.png"
"Traité","ELXE","19/1/2026","","Troarn, Rue de Bavent","2","0","49.182580, -0.182367","PEC_Images/ELXE.Photo Site.121509.jpg","","DBT - TINY","DBT.QCNG.51230098335940","2","2024","10/4/2024","PEC_Images/ELXE.Photo Chargeur.133339.jpg","Bon","","Artilla HS, l'écran reste bloqué au démarrage de la borne","Prévoir remplacement de l'artilla, vu avec DBT","PEC_Images/ELXE.Chargeur - Photo anomalie.144313.jpg","","ELXE1","CCS","25","1","Bon","Bon","Fonctionnel","","","","","","","ELXE2","T2","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50093999719030","BACO 4 010 13","60","500","Bon","PEC_Images/ELXE.Photo PDL.121509.jpg","PEC_Images/ELXE.Photo Disjoncteur.121514.jpg","","","","","","89332401000037831233","DBT.QCNG.51230098335940","","","","","","","","","","","","","","Poteau de protection","2","Bon","","","","","","","1","Dans les emrobés","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","","","Fait","Fait","","DUPUY Philippe","PEC_Images/ELXE.Signature.121514.png"
"Traité","CGFY","19/1/2026","","Hérouvillette, Avenue De Cabourg","2","1","49.221731, -0.242217","PEC_Images/CGFY.Photo Site.132408.jpg","","SGA MOBILITY - SGA TAO","TAO2126","2","2025","5/9/2025","PEC_Images/CGFY.Photo Chargeur.132409.jpg","Bon","","","","","","CGFY1","CCS","30","1","Bon","Bon","Fonctionnel","","","","","","","CGFY2","T2","22","","Bon","","Fonctionnel","","","","","","","","","","","","","","","","","","","","Intégré au chargeur","50050578904074","BACO 4 010 13","60","500","Bon","PEC_Images/CGFY.Photo PDL.132408.jpg","PEC_Images/CGFY.Photo Disjoncteur.132413.jpg","","","","","","89332401000037831209","TAO2126","","","","","","","","","","","","","","Aucun","0","Bon","1","","","","","","1","Sur chargeur","Rond interdiction de stationner , Rectangle Réservé au VE","1","Bon","","","","","Traité","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oui","RAS","","Fait","Fait","LOAD MOTION mais la serrure de la borne est HS, la clé tourne dans le vide, la poignée ne sort pas de son habitacle","DUPUY Philippe","PEC_Images/CGFY.Signature.132413.png"
